,OBJECTID,סמל רחוב,שם רחוב,מספר בית,קוד שימוש,שימוש במבנה,מספר קומות,מספר כניסות,מספר דירות,שכבה,קוד רחוב 2,שם רחוב 2,Shape,שטח מעטפת במטר מרובע,היקף מעטפת במטרים,geo
374,36678020,328,רש''י,20.0, , ,4,1,8,2200,0, ,,150.1822052001953,50.76768085869156,"(220298.3607, 632760.631200001)"
375,36678021,328,רש''י,18.0, , ,3,1,7,2200,0, ,,162.72401428222656,59.21098399390063,"(220298.3607, 632760.631200001)"
376,36678022,328,רש''י,16.0, , ,3,1,3,2200,0, ,,208.67588806152344,62.41655126513515,"(220298.3607, 632760.631200001)"
377,36678023,322,יוסף בן מתתיהו,12.0, , ,3,1,8,2200,0, ,,207.0227508544922,65.2185779912636,"(220347.9698, 632721.481799999)"
378,36678024,332,אלפנדרי,32.0, , ,3,1,1,2200,0, ,,131.34466552734375,50.90821837170412,"(220257.6479, 632712.6161)"
379,36678025,332,אלפנדרי,34.0, , ,2,2,2,2200,0, ,,146.5826416015625,58.40938615406498,"(220280.3806, 632711.516899999)"
380,36678026,376,דוד ילין,42.0, , ,2,2,6,2200,0, ,,348.6098327636719,82.7323163802368,"(220266.1865, 632691.188100001)"
381,36678027,321,תחכמוני,23.0, , ,2,2,8,2200,0, ,,312.68408203125,134.7955050618249,"(220266.1865, 632691.188100001)"
382,36678028,376,דוד ילין,4.0, , ,2,2,4,2200,356,נתן בירנבאום,,445.2859954833984,120.63143232199664,"(220266.1865, 632691.188100001)"
383,36678029,376,דוד ילין,20.0, , ,3,6,31,2200,0, ,,1193.6491088867188,269.95325636071783,"(220266.1865, 632691.188100001)"
384,36678030,376,דוד ילין,8.0, , ,4,1,11,2200,356,נתן בירנבאום,,158.31857299804688,54.81722374793716,"(220266.1865, 632691.188100001)"
385,36678031,352,משה חגיז,16.0, , ,2,2,2,2200,356,נתן בירנבאום,,450.7595977783203,118.05573872157416,"(220266.1865, 632691.188100001)"
386,36678032,352,משה חגיז,14.0, , ,1,2,4,2200,356,נתן בירנבאום,,280.65879821777344,75.10573783408117,"(220266.1865, 632691.188100001)"
387,36678033,352,משה חגיז,10.0, , ,2,4,13,2200,356,נתן בירנבאום,,578.5561828613281,145.76554036233543,"(220266.1865, 632691.188100001)"
388,36678034,349,ישעיהו,3.0, , ,1,1,0,2200,0, ,,223.0313873291016,82.29864399132515,"(220266.1865, 632691.188100001)"
389,36678035,348,הנביאים,59.0, , ,2,1,0,2200,0, ,,552.25390625,101.3202191493348,"(220266.1865, 632691.188100001)"
390,36678036,349,ישעיהו,9.0, , ,3,1,8,2200,0, ,,195.19284057617188,63.64411474109046,"(220266.1865, 632691.188100001)"
391,36678037,349,ישעיהו,11.0, , ,3,1,0,2200,376,דוד ילין,,229.81072998046875,61.626206989032674,"(221511.662, 625200.088)"
392,36678038,376,דוד ילין,3.0, , ,2,1,2,2200,0, ,,380.7618103027344,90.6664245051397,"(221511.662, 625200.088)"
393,36678039,349,ישעיהו,13.0, , ,1,1,0,2200,376,דוד ילין,,227.88238525390625,72.31015998134019,"(221511.662, 625200.088)"
394,36678040,352,משה חגיז,20.0, , ,3,1,5,2200,356,נתן בירנבאום,,164.56832885742188,60.07199719597304,"(221511.662, 625200.088)"
395,36678041,348,הנביאים,82.0, , ,3,1,0,2200,0, ,,105.36634826660156,41.06657820465098,"(221511.662, 625200.088)"
396,36678042,349,ישעיהו,15.0, , ,2,1,0,2200,0, ,,287.7045593261719,68.64580802840636,"(221511.662, 625200.088)"
397,36678043,612,יפו,101.0, , ,3,1,4,2200,0, ,,222.55894470214844,68.25243905860034,"(221511.662, 625200.088)"
398,36678044,382,הרב יצחק אורנשטיין,9.0, , ,4,1,10,2200,0, ,,322.9080810546875,98.99139125214752,"(221511.662, 625200.088)"
399,36678045,612,יפו,74.0, , ,5,13,86,2200,345,מיכאל וציפורה פינס,,2752.8656463623047,624.828049636427,"(221511.662, 625200.088)"
400,36678046,612,יפו,72.0, , ,6,4,34,2200,0, ,,2961.389205932617,364.32703094055125,"(221511.662, 625200.088)"
401,36678047,335,דון יוסף נשיא,4.0, , ,2,2,2,2200,0, ,,139.8762969970703,53.30312003636769,"(221511.662, 625200.088)"
402,36678048,334,רשב''ם,1.0, , ,2,2,2,2200,0, ,,254.8120574951172,82.81542307593655,"(221511.662, 625200.088)"
403,36678049,334,רשב''ם,3.0, , ,3,1,5,2200,0, ,,159.28038024902344,54.92598595744606,"(221511.662, 625200.088)"
404,36678050,334,רשב''ם,4.0, , ,2,4,8,2200,0, ,,306.4246520996094,111.33562973272817,"(221511.662, 625200.088)"
405,36678051,321,תחכמוני,15.0, , ,3,2,2,2200,0, ,,256.0115509033203,69.95084479382774,"(221511.662, 625200.088)"
406,36678052,607,שפת אמת,10.0, , ,2,1,0,2200,608,יוסף שוורץ,,164.71347045898438,51.48618014055162,"(221511.662, 625200.088)"
407,36678053,332,אלפנדרי,21.0, , ,2,1,2,2200,0, ,,101.95030212402344,51.22802520192791,"(220226.0363, 632738.77)"
408,36678054,332,אלפנדרי,19.0, , ,3,2,5,2200,321,תחכמוני,,271.55494689941406,82.17823320555145,"(220203.23, 632753.16)"
409,36678055,332,אלפנדרי,26.0, , ,2,3,0,2200,0, ,,612.5293273925781,144.61310370854258,"(220224.3914, 632717.282299999)"
410,36678056,376,דוד ילין,52.0, , ,2,4,14,2200,0, ,,370.8254089355469,83.62691860600846,"(220223.7248, 632702.388)"
