OBJECTID,סמל רחוב,שם רחוב,מספר בית,קוד שימוש,שימוש במבנה,מספר קומות,מספר כניסות,מספר דירות,שכבה,קוד רחוב 2,שם רחוב 2,Shape,שטח מעטפת במטר מרובע,היקף מעטפת במטרים
36678232,1407,דוד שמעוני,19, , ,3,3,18,2200,0000, ,,456.8111267089844,140.43171805076045
36678233,1422,הרב הרצוג,79, , ,4,3,27,2200,0000, ,,453.1011657714844,132.71895713478037
36678234,1422,הרב הרצוג,77, , ,4,2,18,2200,0000, ,,312.3350830078125,104.09502905602443
36678235,1450,מבוא בנין,12, , ,2,6,6,2200,0000, ,,527.7948303222656,176.35598833975956
36678236,1407,דוד שמעוני,23, , ,3,1,5,2200,0000, ,,180.85206604003906,80.89984968216184
36678237,1407,דוד שמעוני,22,ע, ,3,1,6,2200,0000, ,,168.86085510253906,58.367345283062214
36678238,1407,דוד שמעוני,24, , ,4,1,10,2200,0000, ,,169.0490264892578,63.26591736105363
36678239,1618,חיל נשים,4, , ,2,1,0,2200,0000, ,,345.4599151611328,91.07438872295829
36678240,1606,ביל''ו,13, , ,3,1,5,2200,0000, ,,336.3245391845703,88.4362411865085
36678241,1607,הל''ה,34, , ,4,3,14,2200,0000, ,,615.9220428466797,172.95990269544524
36678242,1615,המצור,13, , ,3,1,1,2200,0000, ,,404.8738555908203,95.26355726504958
36678243,1615,המצור,5,ע, ,2,1,3,2200,0000, ,,377.583740234375,104.49285882586824
36678244,1609,השיירות,10, , ,4,2,1,2200,0000, ,,740.4804229736328,195.18351337712664
36678245,0000, ,16, , ,3,2,4,2200,1606,ביל''ו,,298.5172882080078,87.01176812908754
36678246,1607,הל''ה,35, , ,4,1,6,2200,0000, ,,317.19032287597656,93.84500926475029
36678247,1607,הל''ה,32, , ,4,3,22,2200,0000, ,,674.1774444580078,174.25272534015474
36678248,1607,הל''ה,36, , ,4,3,17,2200,0000, ,,477.3622283935547,122.03904506078702
36678249,1606,ביל''ו,11, , ,3,1,9,2200,1618,חיל נשים,,272.7476501464844,82.13624990586344
36678250,1617,יורדי הסירה,2, , ,3,1,5,2200,1606,ביל''ו,,246.8571319580078,71.20728954848494
36678251,1615,המצור,9, , ,3,1,0,2200,0000, ,,286.93748474121094,87.04175415683287
36678252,1609,השיירות,12, , ,3,1,3,2200,0000, ,,260.08331298828125,105.82710646794528
36678253,1618,חיל נשים,6, , ,3,1,6,2200,0000, ,,178.19056701660156,57.818465031278926
36678254,1612,הגדנ''ע,8, , ,3,1,4,2200,1618,חיל נשים,,178.18771362304688,56.39928689054446
36678255,1606,ביל''ו,12, , ,3,1,6,2200,1617,יורדי הסירה,,195.0604248046875,60.528512628661
36678256,1602,משמר העם,20, , ,2,1,1,2200,0000, ,,145.52603149414062,53.994169971440144
36678257,1602,משמר העם,22, , ,2,1,1,2200,1606,ביל''ו,,132.4981231689453,46.56586312648779
36678258,1615,המצור,11, , ,1,1,1,2200,0000, ,,126.13790893554688,53.82028951302644
36678259,1611,מחלקי המים,1, , ,3,1,6,2200,0000, ,,169.4634552001953,58.88546599592228
36678260,1611,מחלקי המים,3, , ,2,1,4,2200,1612,הגדנ''ע,,224.86769104003906,78.91320654267426
36678261,1611,מחלקי המים,2, , ,4,1,5,2200,0000, ,,187.4813232421875,63.60370087694322
36678262,1609,השיירות,14, , ,3,1,1,2200,0000, ,,205.0219268798828,66.26311121357065
36678263,1609,השיירות,16, , ,3,1,3,2200,0000, ,,160.04736328125,60.79121764655585
36678264,1609,השיירות,18, , ,4,1,3,2200,0000, ,,177.3686981201172,56.40803839605111
36678265,1615,המצור,7, , ,1,1,0,2200,0000, ,,137.37918090820312,58.25736171294333
36678266,1615,המצור,3, , ,2,1,1,2200,0000, ,,221.46353149414062,63.39019231770816
36678267,1609,השיירות,22, , ,3,1,6,2200,0000, ,,185.76040649414062,66.156344583244
36678268,1602,משמר העם,18, , ,1,1,1,2200,0000, ,,56.9862060546875,35.73666914349344
36678269,1331,דוסתאי,5, , ,4,1,10,2200,0000, ,,273.3413543701172,78.34771173822973
36678270,1331,דוסתאי,3, , ,5,1,8,2200,1328,אבא חילקיה,,275.8815155029297,74.09009383516401
36678271,1328,אבא חילקיה,15, , ,4,1,4,2200,0000, ,,225.64788818359375,69.28370813322623
36678272,1331,דוסתאי,7, , ,3,1,8,2200,1332,נקדימון,,393.5043182373047,91.12275966516167
36678273,1331,דוסתאי,10, , ,5,1,6,2200,0000, ,,218.3024444580078,72.96360504218207
36678274,1331,דוסתאי,8, , ,6,1,6,2200,0000, ,,170.2674102783203,67.92468917198426
36678275,1331,דוסתאי,6, , ,5,1,3,2200,0000, ,,166.8213348388672,60.95618057968824
36678276,1601,חזקיהו המלך,47, , ,5,1,12,2200,0000, ,,491.1612091064453,111.66817019148849
36678277,1601,חזקיהו המלך,39, , ,4,6,96,2200,0000, ,,919.4905395507812,199.15437841230934
36678278,1601,חזקיהו המלך,45, , ,5,1,16,2200,0000, ,,309.89244079589844,73.06828711680616
36678279,1601,חזקיהו המלך,36, , ,3,1,0,2200,0000, ,,224.68357849121094,65.68322107614216
36678280,1601,חזקיהו המלך,36, , ,1,1,1,2200,0000, ,,46.11766052246094,27.475985124052812
36678281,1601,חזקיהו המלך,40, , ,2,2,2,2200,0000, ,,322.4756774902344,84.75622486571841
36678282,1601,חזקיהו המלך,42, , ,1,1,7,2200,0000, ,,209.1350860595703,60.992657069197016
36678283,1613,החי''ש,2, , ,2,1,8,2200,0000, ,,152.974609375,57.05319192289328
36678284,1617,יורדי הסירה,33, , ,4,1,1,2200,0000, ,,206.8900604248047,67.9159153505264
36678285,1627,הצפירה,12, , ,2,7,15,2200,0000, ,,1031.3911437988281,223.49470666259083
36678286,1671,חיים בג'איו,11, , ,8,2,24,2200,0000, ,,339.3203430175781,88.00160217667705
36678287,1671,חיים בג'איו,12, , ,4,1,12,2200,0000, ,,421.02992248535156,123.70744489791686
36678288,1671,חיים בג'איו,2, , ,4,1,12,2200,0000, ,,383.8817443847656,85.73152587120224
36678289,1621,רחל אמנו,22, , ,4,1,2,2200,0000, ,,359.22596740722656,101.84213775544431
36678290,1622,תל חי,13, , ,2,1,1,2200,1621,רחל אמנו,,382.75384521484375,82.2804173303605
36678291,1622,תל חי,13, , ,6,1,1,2200,1628,דוד אלרואי,,373.3701171875,99.90946038241927
36678292,1671,חיים בג'איו,1, , ,4,1,12,2200,0000, ,,382.76747131347656,85.44053625907424
36678293,1668,מל''ל,7, , ,4,1,3,2200,0000, ,,397.7015380859375,99.08826294296004
36678294,1627,הצפירה,7, , ,2,1,1,2200,1668,מל''ל,,406.1916809082031,93.3585157746203
36678295,1651,המליץ,3, , ,4,1,4,2200,0000, ,,302.87718200683594,85.43518220806963
36678296,1647,עזריאל הילדסהימר,10, , ,3,1,9,2200,0000, ,,306.2504119873047,93.2452217076435
36678297,1649,רות,5, , ,1,1,1,2200,0000, ,,310.00538635253906,72.35318252803067
36678298,1671,חיים בג'איו,9, , ,4,1,12,2200,0000, ,,415.30210876464844,100.7139497533848
36678299,1671,חיים בג'איו,10, , ,4,2,24,2200,0000, ,,348.30906677246094,89.40750317838689
36678300,1671,חיים בג'איו,8, , ,4,2,24,2200,0000, ,,344.6824645996094,93.51063727435778
36678301,1651,המליץ,8, , ,4,1,18,2200,0000, ,,581.3120269775391,159.09601470221952
36678302,1650,המגיד,7, , ,2,4,5,2200,0000, ,,664.3565063476562,181.78629014911337
36678303,1647,עזריאל הילדסהימר,12, , ,1,2,2,2200,0000, ,,330.45542907714844,99.39350600317763
36678304,1651,המליץ,9, , ,3,1,4,2200,0000, ,,364.74134826660156,108.63903183759639
36678305,1627,הצפירה,14, , ,2,1,2,2200,0000, ,,321.6931610107422,114.1987581895135
36678306,1647,עזריאל הילדסהימר,17, , ,1,1,1,2200,0000, ,,396.0403747558594,92.07717757725415
36678307,1650,המגיד,13, , ,3,1,1,2200,0000, ,,374.91969299316406,111.00176000069855
36678308,1650,המגיד,16, , ,4,2,6,2200,0000, ,,324.1907501220703,88.15645378354483
36678309,1650,המגיד,18, , ,4,2,12,2200,0000, ,,330.5851593017578,88.79939602840241
36678310,1627,הצפירה,11, , ,3,2,4,2200,0000, ,,610.4015502929688,175.91310236286859
36678311,1667,קליין,1, , ,4,3,24,2200,0000, ,,661.9128875732422,176.63242625053766
36678312,1649,רות,9, , ,3,1,3,2200,0000, ,,328.4502410888672,126.57081113709538
36678313,1627,הצפירה,21, , ,2,1,2,2200,0000, ,,696.1171875,194.25863121246647
36678314,1671,חיים בג'איו,7, , ,4,1,12,2200,0000, ,,409.92449951171875,100.02053381623462
36678315,1671,חיים בג'איו,6, , ,4,1,12,2200,0000, ,,380.72462463378906,85.46480522505433
36678316,1671,חיים בג'איו,5, , ,4,1,12,2200,0000, ,,324.9153289794922,74.93791136050888
36678317,1671,חיים בג'איו,4, , ,4,1,12,2200,0000, ,,383.5882110595703,85.78764580505892
36678318,1627,הצפירה,20, , ,1,2,2,2200,0000, ,,403.05079650878906,109.80972897429686
36678319,1627,הצפירה,22, , ,3,1,6,2200,0000, ,,300.11354064941406,97.98276561153075
36678320,1651,המליץ,24, , ,2,1,4,2200,0000, ,,500.24888610839844,98.06646132039194
36678321,1621,רחל אמנו,4, , ,1,1,1,2200,1647,עזריאל הילדסהימר,,325.9894104003906,85.78867304557667
36678322,1671,חיים בג'איו,3, , ,4,1,12,2200,0000, ,,280.00628662109375,65.64952819576345
36678323,1651,המליץ,6, , ,3,1,1,2200,0000, ,,284.2732238769531,71.76829214104505
36678324,1647,עזריאל הילדסהימר,16, , ,4,1,6,2200,0000, ,,250.6238555908203,77.9784967106951
36678325,1667,קליין,4, , ,2,1,1,2200,0000, ,,278.6295166015625,82.25352830810648
36678326,1667,קליין,8, , ,2,1,1,2200,0000, ,,270.6954803466797,80.40515851804241
36678327,1667,קליין,10, , ,3,1,1,2200,0000, ,,278.54241943359375,73.99611407730752
36678328,1650,המגיד,17, , ,3,1,10,2200,0000, ,,254.6612548828125,76.49452632591702
36678329,1650,המגיד,15, , ,3,1,1,2200,0000, ,,296.70465087890625,76.2311159031832
36678330,1621,רחל אמנו,23, , ,3,1,1,2200,0000, ,,256.8120880126953,80.77294714672203
36678331,1628,דוד אלרואי,4, , ,2,1,6,2200,1621,רחל אמנו,,171.55630493164062,61.874526116302306
36678332,1627,הצפירה,5, , ,1,1,2,2200,1668,מל''ל,,120.23873901367188,57.403136166535546
